"Text"   ,"FirstPerson","InnerThinking","ThinkPositive","ThinkNegative","ThinkAhead","ThinkBack","Reasoning","Share_SocTies","Direct_Activity","Interacting","Notifying","LinearGuidance","WordPicture","SpaceInterval","Motion","PastEvents","TimeInterval","ShiftingEvents","Text_Coverage","Genre","Counter","Corpus","Corp.Genre"
A37.TXT  ,0            ,1.93           ,0.47           ,2.01           ,1.93        ,0.51       ,1.63       ,1.97           ,0.09             ,0.21         ,2.23       ,4.11            ,4.37         ,1.41           ,0.21    ,2.44        ,1.37          ,0.77            ,27.66          ,1      ,37       ,1       ,101
A38.TXT  ,0.09         ,2.58           ,0.63           ,1.18           ,1.31        ,0.9        ,1.67       ,1.09           ,0.23             ,0.23         ,3.8        ,3.39            ,4.66         ,2.62           ,0.63    ,2.99        ,1.49          ,1.67            ,31.16          ,1      ,38       ,1       ,101
A39.TXT  ,0.65         ,1.96           ,1.1            ,0.82           ,0.94        ,0.45       ,2.73       ,0.86           ,0.33             ,0.61         ,1.92       ,4.81            ,6.07         ,1.51           ,0.65    ,2.04        ,0.98          ,0.73            ,29.16          ,1      ,39       ,1       ,101
A40.TXT  ,0.58         ,2.29           ,1.04           ,0.54           ,0.96        ,0.67       ,2          ,1.37           ,0.17             ,0.17         ,2.16       ,5.5             ,5.83         ,0.87           ,0.42    ,3.37        ,1.37          ,1.08            ,30.39          ,1      ,40       ,1       ,101
A41.TXT  ,0            ,2.81           ,0.55           ,1.62           ,0.94        ,0.72       ,2.17       ,2.42           ,0.26             ,0.17         ,1.87       ,3.49            ,3.57         ,0.77           ,0.3     ,2.68        ,1.36          ,0.89            ,26.59          ,1      ,41       ,1       ,101
A42.TXT  ,0.33         ,1.85           ,0.45           ,0.74           ,1.11        ,0.41       ,1.72       ,1.03           ,0.08             ,0.08         ,2.34       ,3.16            ,6.53         ,1.48           ,0.45    ,2.79        ,1.85          ,1.15            ,27.55          ,1      ,42       ,1       ,101
A43.TXT  ,0.04         ,2              ,0.55           ,0.77           ,1.62        ,0.64       ,2.34       ,1.66           ,0.26             ,0.13         ,2.76       ,2.89            ,4.25         ,1.32           ,0.51    ,1.4         ,1.7           ,0.94            ,25.78          ,1      ,43       ,1       ,101
A44.TXT  ,0.13         ,2.5            ,0.44           ,0.83           ,1.8         ,0.18       ,2.76       ,2.06           ,0.22             ,0.39         ,3.33       ,3.11            ,3.33         ,0.83           ,0.13    ,1.31        ,1.58          ,0.35            ,25.28          ,1      ,44       ,1       ,101
B01.TXT  ,0.04         ,2.82           ,0.76           ,1.88           ,1.39        ,0.63       ,2.64       ,3.27           ,0.13             ,0.09         ,3.04       ,2.51            ,4.07         ,0.89           ,0.4     ,1.52        ,1.61          ,0.89            ,28.58          ,2      ,45       ,1       ,102
B02.TXT  ,0            ,2.4            ,0.49           ,1.11           ,1.74        ,1.16       ,3.16       ,2.14           ,0.31             ,0.27         ,2.85       ,3.78            ,4.94         ,1.02           ,0.49    ,1.51        ,0.93          ,0.49            ,28.79          ,2      ,46       ,1       ,102
B03.TXT  ,0            ,2.49           ,0.84           ,1.78           ,1.02        ,0.71       ,3.73       ,3.11           ,0.13             ,0.44         ,2.75       ,4.75            ,5.02         ,1.2            ,0.44    ,1.95        ,1.33          ,0.8             ,32.49          ,2      ,47       ,1       ,102
B04.TXT  ,0            ,2.63           ,0.62           ,1.74           ,1.51        ,0.85       ,2.31       ,2.94           ,0.18             ,0.85         ,2.71       ,4.23            ,3.56         ,0.93           ,0.31    ,1.42        ,1.56          ,0.8             ,29.15          ,2      ,48       ,1       ,102
B05.TXT  ,0.04         ,2.83           ,0.74           ,1.83           ,1.48        ,0.83       ,3.09       ,2.44           ,0.31             ,0.09         ,2.92       ,3.7             ,5.4          ,1.53           ,0.39    ,0.87        ,1.26          ,0.83            ,30.58          ,2      ,49       ,1       ,102
B06.TXT  ,0            ,2.01           ,0.7            ,1.44           ,2.31        ,1.22       ,2.49       ,2.53           ,0.44             ,0.13         ,2.57       ,2.66            ,4.45         ,0.65           ,0.26    ,1.09        ,1.22          ,0.87            ,27.04          ,2      ,50       ,1       ,102
B07.TXT  ,0            ,2.95           ,0.62           ,1.72           ,1.98        ,0.44       ,2.6        ,3.13           ,0.31             ,0.18         ,2.86       ,3.74            ,3.61         ,0.66           ,0.4     ,1.23        ,1.1           ,0.66            ,28.19          ,2      ,51       ,1       ,102
B08.TXT  ,1.38         ,3.13           ,1.42           ,1.25           ,2           ,0.58       ,2.75       ,1.96           ,0.25             ,1.42         ,2.34       ,7.01            ,5.72         ,0.92           ,0.38    ,2.05        ,1.46          ,1.21            ,37.23          ,2      ,52       ,1       ,102
B09.TXT  ,0.64         ,2.49           ,1.07           ,1.33           ,1.29        ,1.24       ,1.84       ,1.8            ,0.09             ,1.07         ,2.4        ,3.9             ,5.58         ,2.15           ,0.56    ,2.49        ,1.42          ,1.16            ,32.52          ,2      ,53       ,1       ,102
B10.TXT  ,0.79         ,3.99           ,0.74           ,0.88           ,1.58        ,0.26       ,4.03       ,1.97           ,0.35             ,0.88         ,3.16       ,5.65            ,5.83         ,1.05           ,0.74    ,1.75        ,1.62          ,1.01            ,36.28          ,2      ,54       ,1       ,102
B11.TXT  ,0.38         ,2.43           ,1.15           ,1.36           ,2           ,0.68       ,1.96       ,2.13           ,0.26             ,0.09         ,2.09       ,4.05            ,4.18         ,1.28           ,0.6     ,1.32        ,0.98          ,1.11            ,28.05          ,2      ,55       ,1       ,102
B12.TXT  ,0.17         ,1.7            ,1.02           ,0.72           ,1.7         ,0.47       ,2.17       ,2.51           ,0.09             ,0.38         ,3.24       ,4.01            ,5.5          ,0.51           ,0.21    ,2.22        ,1.19          ,0.89            ,28.7           ,2      ,56       ,1       ,102
B13.TXT  ,0.04         ,2.51           ,1.36           ,1.06           ,1.5         ,0.31       ,2.46       ,2.11           ,0.35             ,0.62         ,3.39       ,3.52            ,7.87         ,0.7            ,0.84    ,1.54        ,1.06          ,0.97            ,32.21          ,2      ,57       ,1       ,102
B14.TXT  ,0            ,3.45           ,0.79           ,2.1            ,1.44        ,0.79       ,3.1        ,1.79           ,0.13             ,0.44         ,2.45       ,4.77            ,6.17         ,1.09           ,0.74    ,1.57        ,1.31          ,1.01            ,33.14          ,2      ,58       ,1       ,102
B15.TXT  ,1.25         ,2.79           ,0.9            ,0.95           ,2.32        ,0.21       ,2.79       ,3.27           ,0.39             ,0.95         ,3.05       ,3.83            ,4.56         ,0.69           ,0.09    ,1.16        ,1.16          ,0.86            ,31.22          ,2      ,59       ,1       ,102
B16.TXT  ,0.65         ,2.82           ,0.52           ,1.13           ,1.99        ,0.65       ,2.04       ,2.86           ,0.17             ,1.13         ,2.51       ,3.34            ,5.55         ,0.65           ,0.26    ,1.08        ,1.6           ,0.52            ,29.47          ,2      ,60       ,1       ,102
B17.TXT  ,0.44         ,2.45           ,0.66           ,0.96           ,2.41        ,0.39       ,2.85       ,3.29           ,0.48             ,1.18         ,2.89       ,3.11            ,5.43         ,0.83           ,0.31    ,1.1         ,0.96          ,0.96            ,30.7           ,2      ,61       ,1       ,102
B18.TXT  ,0.5          ,2.61           ,0.41           ,1.58           ,1.67        ,0.32       ,2.12       ,4.06           ,0.32             ,0.72         ,3.52       ,3.65            ,3.88         ,0.72           ,0.27    ,1.13        ,1.31          ,0.72            ,29.51          ,2      ,62       ,1       ,102
B19.TXT  ,0.58         ,3.76           ,0.96           ,2.7            ,1.64        ,0.48       ,3.38       ,3.57           ,0.29             ,0.58         ,2.6        ,3.38            ,6.27         ,1.25           ,0.39    ,0.39        ,0.96          ,0.39            ,33.57          ,2      ,63       ,1       ,102
B20.TXT  ,0            ,3.64           ,0.74           ,2.47           ,1.43        ,0.95       ,3.42       ,2.12           ,0.35             ,0.52         ,2.6        ,4.24            ,3.85         ,1.26           ,0.3     ,1.17        ,1             ,0.74            ,30.8           ,2      ,64       ,1       ,102
B21.TXT  ,0            ,3.44           ,0.57           ,2.53           ,1.53        ,0.92       ,3.49       ,3.14           ,0.31             ,0.39         ,3.49       ,3.14            ,3.23         ,0.96           ,0.09    ,1.31        ,1.26          ,0.78            ,30.58          ,2      ,65       ,1       ,102
B22.TXT  ,0            ,4.12           ,1.26           ,1.61           ,1.3         ,0.82       ,3.08       ,3.6            ,0.3              ,0.35         ,3.82       ,2.73            ,2.43         ,0.69           ,0.22    ,0.82        ,1.39          ,0.78            ,29.32          ,2      ,66       ,1       ,102
B23.TXT  ,0.73         ,3.33           ,0.51           ,1.71           ,1.11        ,0.21       ,3.76       ,3.59           ,0.26             ,1.32         ,2.65       ,3.24            ,3.54         ,0.85           ,0.26    ,1.66        ,1.2           ,0.47            ,30.4           ,2      ,67       ,1       ,102
B24.TXT  ,0.13         ,2.93           ,0.81           ,1.53           ,0.64        ,0.51       ,2.59       ,1.27           ,0.17             ,0.21         ,2.12       ,3.82            ,8.66         ,1.1            ,0.59    ,1.7         ,1.61          ,0.93            ,31.32          ,2      ,68       ,1       ,102
B25.TXT  ,0            ,3.93           ,0.55           ,2.32           ,1.44        ,0.51       ,2.54       ,2.54           ,0.13             ,0.46         ,2.66       ,4.02            ,3.68         ,1.14           ,0.34    ,1.61        ,0.85          ,0.59            ,29.31          ,2      ,69       ,1       ,102
B26.TXT  ,1.28         ,2.94           ,0.51           ,1.92           ,1.62        ,0.43       ,2.21       ,2.81           ,0.51             ,0.72         ,3.15       ,3.83            ,3.19         ,0.51           ,0.21    ,1.11        ,1.23          ,0.6             ,28.78          ,2      ,70       ,1       ,102
B27.TXT  ,0.95         ,3.1            ,0.82           ,1.9            ,1.55        ,0.26       ,2.63       ,2.29           ,0.3              ,0.69         ,2.72       ,3.75            ,3.54         ,0.69           ,0.34    ,2.11        ,1.47          ,0.65            ,29.76          ,2      ,71       ,1       ,102
C01.TXT  ,0.12         ,2.57           ,1.06           ,0.98           ,1.23        ,0.82       ,2.61       ,1.43           ,0.12             ,0.45         ,3.19       ,4.25            ,4.82         ,0.94           ,0.74    ,1.55        ,0.74          ,0.69            ,28.31          ,3      ,72       ,1       ,103
C02.TXT  ,0            ,3.67           ,0.86           ,0.65           ,0.86        ,0.43       ,3.2        ,1.77           ,0.3              ,0.6          ,2.63       ,4.1             ,4.84         ,0.91           ,0.43    ,2.25        ,1.47          ,0.82            ,29.79          ,3      ,73       ,1       ,103
C03.TXT  ,0.04         ,3.07           ,2.3            ,1.24           ,0.85        ,0.34       ,2.98       ,2.04           ,0.21             ,0.17         ,2.34       ,4.43            ,5.62         ,0.85           ,0.68    ,2.09        ,1.58          ,0.72            ,31.55          ,3      ,74       ,1       ,103
C04.TXT  ,0.6          ,3.17           ,2.01           ,1.07           ,0.86        ,0.43       ,2.61       ,1.92           ,0.13             ,0.09         ,2.95       ,4.45            ,5.65         ,0.98           ,0.81    ,1.33        ,1.33          ,0.77            ,31.16          ,3      ,75       ,1       ,103
C05.TXT  ,0.59         ,3.72           ,1.76           ,1.72           ,1.05        ,0.38       ,3.18       ,2.43           ,0.33             ,0.96         ,2.18       ,5.1             ,5.02         ,1.34           ,0.5     ,1.21        ,0.88          ,0.67            ,33.02          ,3      ,76       ,1       ,103
C06.TXT  ,0.08         ,3.08           ,2.13           ,2.13           ,0.74        ,0.57       ,2.71       ,2.87           ,0.08             ,0.37         ,2.75       ,4.1             ,4.96         ,0.66           ,0.9     ,1.64        ,1.31          ,0.98            ,32.06          ,3      ,77       ,1       ,103
C07.TXT  ,0            ,2.72           ,1.69           ,0.91           ,0.41        ,0.33       ,2.6        ,1.85           ,0.04             ,0.08         ,3.21       ,3.75            ,4.41         ,0.49           ,0.7     ,1.85        ,1.57          ,0.54            ,27.15          ,3      ,78       ,1       ,103
C08.TXT  ,0.21         ,2.72           ,1.57           ,0.81           ,0.81        ,0.64       ,2.21       ,1.57           ,0.17             ,0.47         ,2.93       ,5.86            ,6.71         ,1.36           ,1.4     ,1.87        ,1.7           ,0.93            ,33.94          ,3      ,79       ,1       ,103
C09.TXT  ,0.21         ,2.39           ,1.34           ,1.34           ,0.55        ,0.5        ,2.26       ,1.76           ,0.17             ,0.25         ,2.73       ,3.9             ,3.77         ,0.84           ,0.92    ,1.47        ,1.34          ,0.92            ,26.66          ,3      ,80       ,1       ,103
C10.TXT  ,0.24         ,2.77           ,1.22           ,1.79           ,0.57        ,0.65       ,1.95       ,1.59           ,0.12             ,0.29         ,2.81       ,5.7             ,6.39         ,1.18           ,0.61    ,2.04        ,1.67          ,1.02            ,32.61          ,3      ,81       ,1       ,103
C11.TXT  ,0            ,3              ,1.64           ,0.96           ,1.04        ,0.32       ,2.32       ,2.08           ,0.2              ,0.32         ,2.4        ,3.83            ,6.23         ,0.6            ,0.64    ,1.68        ,1.56          ,0.64            ,29.46          ,3      ,82       ,1       ,103
C12.TXT  ,0            ,2.15           ,1.18           ,0.38           ,0.72        ,0.68       ,2.28       ,1.56           ,0.08             ,0.04         ,3.3        ,3.55            ,6.34         ,0.84           ,0.63    ,1.23        ,1.77          ,0.68            ,27.41          ,3      ,83       ,1       ,103
C13.TXT  ,0.09         ,2.82           ,1              ,1.04           ,0.87        ,0.87       ,2.38       ,1.82           ,0.22             ,0.13         ,3.12       ,4.38            ,5.68         ,1.21           ,0.56    ,1.26        ,1.26          ,0.95            ,29.66          ,3      ,84       ,1       ,103
C14.TXT  ,0.04         ,2.79           ,1.59           ,1.05           ,0.47        ,0.35       ,2.17       ,2.21           ,0.31             ,0.19         ,2.64       ,4.15            ,5.04         ,0.74           ,0.89    ,1.71        ,1.74          ,0.47            ,28.55          ,3      ,85       ,1       ,103
C15.TXT  ,0            ,1.86           ,1.32           ,1.05           ,0.5         ,0.19       ,1.44       ,0.89           ,0.04             ,0.12         ,2.29       ,2.1             ,7.92         ,1.98           ,1.82    ,0.47        ,1.4           ,0.7             ,26.09          ,3      ,86       ,1       ,103
C16.TXT  ,0.3          ,3.33           ,1              ,2.21           ,1.47        ,0.74       ,3.25       ,3.98           ,0.3              ,0.26         ,2.82       ,5.02            ,3.64         ,0.74           ,0.74    ,1.08        ,0.95          ,0.39            ,32.22          ,3      ,87       ,1       ,103
C17.TXT  ,0            ,2.51           ,0.74           ,2.1            ,0.99        ,0.25       ,2.6        ,1.61           ,0.08             ,0.12         ,2.51       ,3.21            ,7.29         ,1.07           ,0.21    ,0.74        ,1.36          ,0.37            ,27.76          ,3      ,88       ,1       ,103
D01.TXT  ,0.09         ,3.72           ,0.54           ,1.27           ,0.95        ,0.54       ,3.4        ,2.85           ,0.32             ,0.27         ,4.12       ,3.67            ,3.13         ,0.86           ,0.18    ,1.59        ,1             ,0.91            ,29.41          ,4      ,89       ,1       ,104
D02.TXT  ,0.04         ,4.53           ,0.26           ,1.21           ,1.12        ,0.56       ,3.88       ,3.41           ,0.69             ,0.43         ,3.66       ,5.09            ,2.37         ,0.43           ,0       ,1.08        ,1.03          ,0.6             ,30.39          ,4      ,90       ,1       ,104
D03.TXT  ,0.85         ,3.31           ,0.89           ,0.59           ,0.89        ,0.68       ,2.63       ,2.5            ,0.13             ,0.21         ,2.76       ,3.9             ,6.79         ,0.89           ,0.21    ,1.36        ,1.74          ,0.76            ,31.09          ,4      ,91       ,1       ,104
D04.TXT  ,0            ,2.77           ,0.3            ,1.99           ,0.74        ,0.43       ,5.24       ,3.6            ,0.26             ,0.13         ,3.9        ,6.33            ,2.77         ,0.69           ,0.3     ,1.73        ,1.69          ,0.65            ,33.52          ,4      ,92       ,1       ,104
D05.TXT  ,0.33         ,3.43           ,1.38           ,2.34           ,1.09        ,0.63       ,3.68       ,4.01           ,0.25             ,0.54         ,2.55       ,6.52            ,3.68         ,0.75           ,0.21    ,2.34        ,1.04          ,0.46            ,35.23          ,4      ,93       ,1       ,104
D06.TXT  ,1.99         ,3.33           ,1.51           ,1.47           ,1.47        ,0.22       ,2.59       ,4.76           ,0.17             ,1.95         ,1.99       ,4.84            ,4.5          ,0.99           ,0.39    ,1.34        ,1.51          ,0.61            ,35.63          ,4      ,94       ,1       ,104
D07.TXT  ,0.86         ,3.09           ,0.64           ,3.69           ,1.54        ,0.51       ,2.96       ,3.47           ,0.34             ,2.06         ,2.96       ,6.99            ,3.94         ,1.24           ,0.43    ,1.03        ,0.69          ,0.73            ,37.17          ,4      ,95       ,1       ,104
D08.TXT  ,0            ,3.49           ,0.47           ,0.99           ,0.73        ,0.56       ,2.45       ,1.98           ,0.13             ,0.17         ,3.19       ,4.22            ,3.23         ,0.99           ,0.09    ,2.2         ,1.29          ,0.65            ,26.83          ,4      ,96       ,1       ,104
D09.TXT  ,0.09         ,2.61           ,1.32           ,0.9            ,1.58        ,0.34       ,1.79       ,3.42           ,0.68             ,0.13         ,3.2        ,3.67            ,4.53         ,0.73           ,0.09    ,1.28        ,2.73          ,0.98            ,30.07          ,4      ,97       ,1       ,104
D10.TXT  ,0.4          ,2.92           ,0.45           ,2.11           ,1.44        ,1.03       ,3.01       ,3.64           ,0.4              ,0.22         ,2.47       ,5.34            ,3.82         ,0.81           ,0.18    ,1.17        ,1.35          ,0.67            ,31.43          ,4      ,98       ,1       ,104
D11.TXT  ,0.22         ,6.11           ,0.87           ,2.34           ,1.47        ,0.04       ,4.5        ,3.77           ,0.48             ,0.17         ,2.99       ,4.76            ,1.13         ,0.87           ,0.35    ,0.87        ,0.78          ,0.69            ,32.41          ,4      ,99       ,1       ,104
D12.TXT  ,0            ,3.09           ,1              ,0.87           ,1.09        ,0.74       ,2.74       ,2.96           ,0.04             ,0.52         ,2.79       ,4.09            ,3.31         ,1              ,0.44    ,1.31        ,1.35          ,0.3             ,27.64          ,4      ,100      ,1       ,104
