"u1","u2","u3","u4","u5","u6","u7","y"
0.13930087,0.66977336,0.18724697,0.53927055,0.72239212,0.79373738,0.77390027,0.28342662
0.17076456,0.65955038,0.24262266,0.56177207,0.72995688,0.82900959,0.79527340,0.28338823
0.17422689,0.65439688,0.19712780,0.58048692,0.70346578,0.77075098,0.76257498,0.28115132
0.23931155,1.00000000,0.15495442,0.64098867,0.70011053,0.80251788,0.79148268,0.28221239
0.25363087,0.61136159,0.14293497,0.73706352,0.79000706,0.80864905,0.81413327,0.28340843
0.25257576,0.64498613,0.43699105,0.79345810,0.89216149,0.96256983,0.97114957,0.28533860
0.20330562,0.72413575,0.51493961,0.61462228,0.76079023,0.85450605,0.86317830,0.28649487
0.15222800,0.69659340,0.48741732,0.58807244,0.75623245,0.76548519,0.73134841,0.29006141
0.10114974,0.68844597,0.49600285,0.59163450,0.77190474,0.76621129,0.75927893,0.29321660
0.10050485,0.69330317,0.52540324,0.59519684,0.77490514,0.76471527,0.78153378,0.29326265
0.10174885,0.67161158,0.49135423,0.59875890,0.74906196,0.72912539,0.73888299,0.29561323
0.10299284,0.65591816,0.44570819,0.60232096,0.73128426,0.72156706,0.74139451,0.29998999
0.10423747,0.68171074,0.43076398,0.60588303,0.69823905,0.73455080,0.73663181,0.30900097
0.10548147,0.67461583,0.42316411,0.60944536,0.68981873,0.73592163,0.73663181,0.31687329
0.10672547,0.65071749,0.31313172,0.61300743,0.70847697,0.73658044,0.76155440,0.32588654
0.11011020,0.69013088,0.41214759,0.62106952,0.75420983,0.82485642,0.82840748,0.33682480
0.11591425,0.70153463,0.46630243,0.62927334,0.73609832,0.79916436,0.82083646,0.35037181
0.12171766,0.70462437,0.50627964,0.63747717,0.72341854,0.77518270,0.78585041,0.36057670
0.12752170,0.68383346,0.50906206,0.64568099,0.71989901,0.78021846,0.73966404,0.37391642
0.13332574,0.66354818,0.49126905,0.65388481,0.71637948,0.77272741,0.78073364,0.38616043
0.13912915,0.63794576,0.46667153,0.66208863,0.71644782,0.80758337,0.78073364,0.38494393
0.14493320,0.68562599,0.51568701,0.67029246,0.72531630,0.77683990,0.80827363,0.37502575
0.15073724,0.66313543,0.50233314,0.65847629,0.72328975,0.78995665,0.77998729,0.37623976
0.15654065,0.69129838,0.55634563,0.64174208,0.73589329,0.80090450,0.80893492,0.37386699
0.16234469,0.70345687,0.62908846,0.62500787,0.74335291,0.79877314,0.80442563,0.36953167
0.16814874,0.69534335,0.64085276,0.60827367,0.73093336,0.79664335,0.78410953,0.36717936
0.17395214,0.68347968,0.66350082,0.59153918,0.71851512,0.76687792,0.77572621,0.36712708
0.18243307,0.67722943,0.60404587,0.57480497,0.70609557,0.76572148,0.76748695,0.36611456
0.19244482,0.66177924,0.61659556,0.55997350,0.71942457,0.76868066,0.77728832,0.36842767
0.20245721,0.68257162,0.60322250,0.54729258,0.72140645,0.79667778,0.81692077,0.36838279
0.21246896,0.71709832,0.61645360,0.53461166,0.72015266,0.77974586,0.78876635,0.37156343
0.22248135,0.71252562,0.61028292,0.52193074,0.71889888,0.80637059,0.77646040,0.37385847
0.23249311,0.67067257,0.63102871,0.50924981,0.71764510,0.80181525,0.82377843,0.37942336
0.24250549,0.70540270,0.59885012,0.49656889,0.72545693,0.79961348,0.80515114,0.38285354
0.25251725,0.70588621,0.62877615,0.48388797,0.75852054,0.78856079,0.83275535,0.38382118
0.32174920,0.72522806,0.69315252,0.47120733,0.77100449,0.83150400,0.85290309,0.38377910
0.31367086,0.62821661,0.75883493,0.44625852,0.76587764,0.79560115,0.83636556,0.38370580
0.30559251,0.66852626,0.83729416,0.34344634,0.75833391,0.82467803,0.82793538,0.38372682
0.29751417,0.69798054,0.76672793,0.25736034,0.69104491,0.72461074,0.74714481,0.38295581
0.28943583,0.64452621,0.58436977,0.27743228,0.68591150,0.71628562,0.72224479,0.37947563
0.28135748,0.65245105,0.53801163,0.29750393,0.69794072,0.79261068,0.79201207,0.37273913
0.27327914,0.70164076,0.60902408,0.31757586,0.67605602,0.78432624,0.78374330,0.36258985
0.26520079,0.68526041,0.62791479,0.33764780,0.65319090,0.75011345,0.75669624,0.35148930
0.25712245,0.68653404,0.62216079,0.35771973,0.62867116,0.75824609,0.74013615,0.34148739
0.24904411,0.69247767,0.63636681,0.37779166,0.60865663,0.78423235,0.77094962,0.33370655
0.24096576,0.70186630,0.63724697,0.38056881,0.59623707,0.76969469,0.75980658,0.32788996
0.23288742,0.69029598,0.69894489,0.38280059,0.58314332,0.74459572,0.75581105,0.32588654
0.22480908,0.67274812,0.70266425,0.38503237,0.55337056,0.74693676,0.72009428,0.32464617
0.21673073,0.68522060,0.70663185,0.38726443,0.52359649,0.71218566,0.69804250,0.32704054
0.20865239,0.68053145,0.71129583,0.38949621,0.49382374,0.71759072,0.70182802,0.32899680
0.19033588,0.66359535,0.71497721,0.39172827,0.44838395,0.70202025,0.68201005,0.32900475
0.17166640,0.68127440,0.69342723,0.39396005,0.41476836,0.68733549,0.64324891,0.33460885
0.17834620,0.67601476,0.67877615,0.39742403,0.39168245,0.67242383,0.63092560,0.34352778
0.19125234,0.68618025,0.66668073,0.40870836,0.36859522,0.66041344,0.61810936,0.35697802
0.20415912,0.64732113,0.59774283,0.41999270,0.36111458,0.65279251,0.63313165,0.37493406
0.21706590,0.64859476,0.59926641,0.43127703,0.40043396,0.69360437,0.65945493,0.39635662
0.22997268,0.69090921,0.60267384,0.44256136,0.41696971,0.71736225,0.69027882,0.41758773
0.24287946,0.69860998,0.60424462,0.45384569,0.43350677,0.68506956,0.67840332,0.44181601
0.25578624,0.68151026,0.60315613,0.46513002,0.45004383,0.67637983,0.66532152,0.46986860
0.26869302,0.69016626,0.59779961,0.47641435,0.46658089,0.69208018,0.66171478,0.50232342
0.28159979,0.66572987,0.59793198,0.50414142,0.48311795,0.70990720,0.70505464,0.53802237
0.29450657,0.65955038,0.43590295,0.54127440,0.51198651,0.70595277,0.71000826,0.56482121
0.30741335,0.67419865,0.49699504,0.57840737,0.58851592,0.80591522,0.80220396,0.59267402
0.32032013,0.66610724,0.51106831,0.61554035,0.65897618,0.83033034,0.83034797,0.62175920
0.33322691,0.69456501,0.50014656,0.65267333,0.72690259,0.87588063,0.87349343,0.64612675
0.38296959,0.69837413,0.50309013,0.68980631,0.79482768,0.86038058,0.87092637,0.66406689
0.41824477,0.69404613,0.57452654,0.70987796,0.83651007,0.89376242,0.88283311,0.67624551
0.41753119,0.65434971,0.57982704,0.71066701,0.85573474,0.89156221,0.92166195,0.68178423
0.41681824,0.68653404,0.56887652,0.71145607,0.87496074,0.91078666,0.91163841,0.68069333
0.41610530,0.68681707,0.57526512,0.71224512,0.89506858,0.96603759,0.96164153,0.66956356
0.41539235,0.65156658,0.57111949,0.71303417,0.91530523,0.93878535,0.93260713,0.64946542
0.41467941,0.65104769,0.57511357,0.71382350,0.93554187,0.89591568,0.91121490,0.63034802
0.38798691,0.66717008,0.57342884,0.71461255,0.90899820,0.84368809,0.85057555,0.60711065
0.34643388,0.66515201,0.58034730,0.62380965,0.86166984,0.75997215,0.78201977,0.57130885
0.30488020,0.65651960,0.57593694,0.51050523,0.80945910,0.72664038,0.73663181,0.52539034
0.26932773,0.71545174,0.58033810,0.39720052,0.75839963,0.72248251,0.73214509,0.47745761
0.27186724,0.71315212,0.57870056,0.35800761,0.73578158,0.73413768,0.75395908,0.42938568
0.27440675,0.66351280,0.57416704,0.36121023,0.71316354,0.73304070,0.74186835,0.39932150
0.27694626,0.68956482,0.57380753,0.36441313,0.69660283,0.76984023,0.77797738,0.36024286
0.27948576,0.66932671,0.58186168,0.37924599,0.70344869,0.79348857,0.76642992,0.32564038
0.28202527,0.65957397,0.55583496,0.42086049,0.71029456,0.78658592,0.78574801,0.29866838
0.28456478,0.69646957,0.54880293,0.46247498,0.71714174,0.78166440,0.79696048,0.28310915
0.28710365,0.68402215,0.57082982,0.50408976,0.72398761,0.81446411,0.80875614,0.26861272
0.28964316,0.66169669,0.58087716,0.54570425,0.73083348,0.80807317,0.80255457,0.25963356
0.29218267,0.66357176,0.57606931,0.56303384,0.73768066,0.80392783,0.79805222,0.25838525
0.29472217,0.68759540,0.57818951,0.55291679,0.73919203,0.75444658,0.77696722,0.25635792
0.29726168,0.67023476,0.58371675,0.54279973,0.71887785,0.72980924,0.73958941,0.25167943
0.29980119,0.65787579,0.57880454,0.53268295,0.66872520,0.70630487,0.70434475,0.25182658
0.30234070,0.69754862,0.57474447,0.52256590,0.67071627,0.75925700,0.75267294,0.25289649
0.30487957,0.66490436,0.57234994,0.51244885,0.68034570,0.75646214,0.74247584,0.25402152
0.30741908,0.65245105,0.57451733,0.52750466,0.68997512,0.79079699,0.77495036,0.25529881
0.30995858,0.67073154,0.58101912,0.53282855,0.69960455,0.79759010,0.78323301,0.25638406
0.31249809,0.66229813,0.59945595,0.47039866,0.70923397,0.77516861,0.77482366,0.25844831
0.27045026,0.68088524,0.59830108,0.46222081,0.71886339,0.80481511,0.78605175,0.26401036
0.27529841,0.67342032,0.60579659,0.46737147,0.72849150,0.77665055,0.79192008,0.26863374
0.27643301,0.68073193,0.58506039,0.47252241,0.73812093,0.77518270,0.78398977,0.27854414
0.27544405,0.67547524,0.59950314,0.47767308,0.73630334,0.77198410,0.76818643,0.28991884
0.27445445,0.67945829,0.60014656,0.48282375,0.72468810,0.75618046,0.77765628,0.29889910
0.27346485,0.67733557,0.60230436,0.48797441,0.71307417,0.75712408,0.75504214,0.30336279
0.27247588,0.66919698,0.60693266,0.49312508,0.70605877,0.77228299,0.75801709,0.30450599
0.27148628,0.65779324,0.60056324,0.49827574,0.70680263,0.75786270,0.74117929,0.30451111
0.27049668,0.68739492,0.59650317,0.50342669,0.70754517,0.75604745,0.76718147,0.30329688
0.26950708,0.65807627,0.59933279,0.50857735,0.71318851,0.78735897,0.77833319,0.30096558
0.27954873,0.68036635,0.60241793,0.51669056,0.72709841,0.76723784,0.77216807,0.29654166
0.30205705,0.68653404,0.60563583,0.52815171,0.74100700,0.80794485,0.80578466,0.29424957
0.31545290,0.65721538,0.59748193,0.53961313,0.75491558,0.83384818,0.81835617,0.29193135
0.28498072,0.65571768,0.60165135,0.55107428,0.76165105,0.80169006,0.80942091,0.28870855
0.30352427,0.65942066,0.61118226,0.55843573,0.74066135,0.76619564,0.78373809,0.28634032
0.27831236,0.66299391,0.63975468,0.53977641,0.71967165,0.75849178,0.76970861,0.28441016
0.28027757,0.66043485,0.61503399,0.52111709,0.70392708,0.71124360,0.75412570,0.28424766
0.28224214,0.65406668,0.54574579,0.50245778,0.70845726,0.72288468,0.74843789,0.28327207
0.28420735,0.65225057,0.53439816,0.48379846,0.71298743,0.79119603,0.77797738,0.28103282
0.28617193,0.68378629,0.52825550,0.46513914,0.71751761,0.80064160,0.81550966,0.27769028
0.28813713,0.65123638,0.54429779,0.44647982,0.72204648,0.79658076,0.78445493,0.27076557
0.29010234,0.67281888,0.55876855,0.42782050,0.72561989,0.79373738,0.78671131,0.26403649
0.29206692,0.65824726,0.53539150,0.40916118,0.71037079,0.75894715,0.77365902,0.25971481
0.29403213,0.69202954,0.56216639,0.39050187,0.71161143,0.75810212,0.77620352,0.25653122
0.29599670,0.65406668,0.49199804,0.37184255,0.70472876,0.77990392,0.75995064,0.25066236
0.29796191,0.67484726,0.43083956,0.35318323,0.69784478,0.73025210,0.72545232,0.24746797
0.29992648,0.64327616,0.36830868,0.34623399,0.69427005,0.75258908,0.72347017,0.24283436
0.30002315,0.65296993,0.26588576,0.35251988,0.69627689,0.70868660,0.72836305,0.23738484
0.29576075,0.66442085,0.25975307,0.35880550,0.72813009,0.74702440,0.76970861,0.23177337
0.29149771,0.69181727,0.23816510,0.36509112,0.73383388,0.74485705,0.76970861,0.23185046
0.28723530,0.66880782,0.27153617,0.37137674,0.73953768,0.74756897,0.74586562,0.23405978
0.28297290,0.69534335,0.32773024,0.37766264,0.74062981,0.74502918,0.75295239,0.24753104
0.27870986,0.68083806,0.36200563,0.38394826,0.73394296,0.74855171,0.76819337,0.26102620
0.27444745,0.66299391,0.36535590,0.39023388,0.72725481,0.71857659,0.71362541,0.27790949
0.27018441,0.67411610,0.38717407,0.39651949,0.71846649,0.71410419,0.72684433,0.29134382
0.26592201,0.68439215,0.34207554,0.40280511,0.72285079,0.73949736,0.74006325,0.30110195
0.26165897,0.64834122,0.39469950,0.40909101,0.72952975,0.73922351,0.75328217,0.31015440
0.25739656,0.67549587,0.38779562,0.41537663,0.71846912,0.74699153,0.73291052,0.30777879
0.25313352,0.65656677,0.35780322,0.42166225,0.70834949,0.72031517,0.70669138,0.29996673
0.24887112,0.66350101,0.35382833,0.42794787,0.70185978,0.73163075,0.73151504,0.28763580
0.24460871,0.66519919,0.32093993,0.43423376,0.69536876,0.72943993,0.74598711,0.26880136
0.24034567,0.67562560,0.25126345,0.44051938,0.69341054,0.73540366,0.71664896,0.26107051
0.23791174,0.69008371,0.23782402,0.44680500,0.69909462,0.72369998,0.75208628,0.24761516
0.24708335,0.65193216,0.18204162,0.45309062,0.70477739,0.73319406,0.75641680,0.23966387
0.25625496,0.67150987,0.19246152,0.45937624,0.70937328,0.72146378,0.76570094,0.23298703
0.26542721,0.66188538,0.14325688,0.46566214,0.70990686,0.75509600,0.75506991,0.22954605
0.27459882,0.68166357,0.15197325,0.47194775,0.72274828,0.74001847,0.74944805,0.22634427
0.28377043,0.66558835,0.14919083,0.47823337,0.72341723,0.77256623,0.75930323,0.22518232
0.29294204,0.66547042,0.15778442,0.48143931,0.72408618,0.76307685,0.78149386,0.22522209
0.28951214,0.68484765,0.15922321,0.48288342,0.72212402,0.76323334,0.77308451,0.22754032
0.28568476,0.68055503,0.18412345,0.48432726,0.71977679,0.74238299,0.77950651,0.23081312
0.28185737,0.68484765,0.20019414,0.48577136,0.71742956,0.74878018,0.77048620,0.23743200
0.27802998,0.66610724,0.18428460,0.48721547,0.71508102,0.73674632,0.74462461,0.24530713
0.27420260,0.66173207,0.14834865,0.48865958,0.71273379,0.72929127,0.71883071,0.25209281
0.27037521,0.67597938,0.14271743,0.49010369,0.71038656,0.73353677,0.72358473,0.25867615
0.27201924,0.69793779,0.12102511,0.49154780,0.70803933,0.73703582,0.75537366,0.26766611
0.27679425,0.65364213,0.12308852,0.49299164,0.70593392,0.77137224,0.77721368,0.27791173
0.28156863,0.66457564,0.14211160,0.49443574,0.70974127,0.77137224,0.77330667,0.29016368
0.28634301,0.67332598,0.13920602,0.49587985,0.71124081,0.73204231,0.74574238,0.30474977
0.29111738,0.69398716,0.12611688,0.49732396,0.71273904,0.73794814,0.76419610,0.32031881
0.29589176,0.68564957,0.12806635,0.49876807,0.71423859,0.72577031,0.75089561,0.33936575
0.30066614,0.69060260,0.12695867,0.50164358,0.71573682,0.74204028,0.75958267,0.36057357
0.30544115,0.68681707,0.16761767,0.51360535,0.71935886,0.77732814,0.78672867,0.38077395
0.31021552,0.65275766,0.18858139,0.52556684,0.73119095,0.77413267,0.76302452,0.40194991
0.31498990,0.66010465,0.25421622,0.53752861,0.74202422,0.76274666,0.75578328,0.42085027
0.31976428,0.69312333,0.25264507,0.54949038,0.72820369,0.72912539,0.72888202,0.43886597
0.21257581,0.66312363,0.23168173,0.56145214,0.71438447,0.75281755,0.73686092,0.45340998
0.22150638,0.67199338,0.22400628,0.57341363,0.70887518,0.71425598,0.71015579,0.45887771
0.23043695,0.68049607,0.16370877,0.58537540,0.71047724,0.70873668,0.70568643,0.45546102
0.23680893,0.65600071,0.13327207,0.59733717,0.71207930,0.73444126,0.70361750,0.44321468
0.23728847,0.66587286,0.12186766,0.60929866,0.71368135,0.73438493,0.73045801,0.42312872
0.23776864,0.65387799,0.13552426,0.62126043,0.71528341,0.73651472,0.74490058,0.40301244
0.23824881,0.67316088,0.15450015,0.61330470,0.71688547,0.73521431,0.74645401,0.38068474
0.23872835,0.69181727,0.14067282,0.60472127,0.71848752,0.74265684,0.75116290,0.36601002
0.23920852,0.64612267,0.16853581,0.59613757,0.72008958,0.71934807,0.75480262,0.35031485
0.23968870,0.69659634,0.17551988,0.58755414,0.72127896,0.73028183,0.74655121,0.33696628
0.24016823,0.67671644,0.18099227,0.57897043,0.72211482,0.74121716,0.75373691,0.32238306
0.24064840,0.65497768,0.24201684,0.57038700,0.72295068,0.76290315,0.77318865,0.30655661
0.24112858,0.69514287,0.27056124,0.56180329,0.72378653,0.73819539,0.77356876,0.29111825
0.24160811,0.65701490,0.30286300,0.55321986,0.72462239,0.79307544,0.76467515,0.27791972
0.24208829,0.69019721,0.35978146,0.54463643,0.72545824,0.79244323,0.79861458,0.26872295
0.24256846,0.67689923,0.35689506,0.53605273,0.72459610,0.75884387,0.77305500,0.25967561
0.24304863,0.66344204,0.39818751,0.52746930,0.72228173,0.78687073,0.78259428,0.25192090
0.24352817,0.69109790,0.39365398,0.51888559,0.71636897,0.74911037,0.73854453,0.24986744
0.24400834,0.65999851,0.37791518,0.51030216,0.70438837,0.72868410,0.73234296,0.25064361
0.24448851,0.65262794,0.33170092,0.50171873,0.69368653,0.73322536,0.75015968,0.24865606
0.24831272,0.65880743,0.24249029,0.49313502,0.68514135,0.74589143,0.73961718,0.24407472
0.25591725,0.68425801,0.25327008,0.48455159,0.71348422,0.76594057,0.76370491,0.24287640
0.26352178,0.65910962,0.24996662,0.47596789,0.71808142,0.75894715,0.77176539,0.24275311
0.27112631,0.67997718,0.27427140,0.46738446,0.72253538,0.78740122,0.75853432,0.24067067
0.27873084,0.64732113,0.23007298,0.45880103,0.72344746,0.75438086,0.77185912,0.23953035
0.28633538,0.67549587,0.26484484,0.45021732,0.70932597,0.72013833,0.75096504,0.23595809
0.29394054,0.63749763,0.12219878,0.44163389,0.67591540,0.72144187,0.69680149,0.23946440
0.30154507,0.67859741,0.13003499,0.43305018,0.70795653,0.77122357,0.76267912,0.24393836
0.30914961,0.68060221,0.17169693,0.43760354,0.72879904,0.80639250,0.81623691,0.24753104
0.30483378,0.66717008,0.17341004,0.44967195,0.73074937,0.78464078,0.78990843,0.24975210
0.30014208,0.67583787,0.18410465,0.46174008,0.72824048,0.73409543,0.74979345,0.25299877
0.29545038,0.66683988,0.17174412,0.47380822,0.71821022,0.73028496,0.72473201,0.25654429
0.29075932,0.69129838,0.13313011,0.48587663,0.69893428,0.71235623,0.71940522,0.25967788
0.28606762,0.67852665,0.11183528,0.49794476,0.67488241,0.69139321,0.68830362,0.26408365
0.28137593,0.64236811,0.04468608,0.51001290,0.69263777,0.70810604,0.70130384,0.26756383
0.27668423,0.64457338,0.00752889,0.55982956,0.71039313,0.73722204,0.74136327,0.26990536
0.27199317,0.65245989,0.01422022,0.61083588,0.72814849,0.74641723,0.77963842,0.27434291
0.26730147,0.68138054,0.05292937,0.66184219,0.74590385,0.76397196,0.77608202,0.27548612
0.26260977,0.67757143,0.09940875,0.66594659,0.75051551,0.72212572,0.72790309,0.27866971
0.25791871,0.68067296,0.15647838,0.66857290,0.73296254,0.70194827,0.73000847,0.27978166
0.25322701,0.64242707,0.13825028,0.67119893,0.71540958,0.65326823,0.67138250,0.28093566
0.24853532,0.66580210,0.11354840,0.67382523,0.71721534,0.70376821,0.70810249,0.28327207
0.24384362,0.67800776,0.14122186,0.67645126,0.72710104,0.73319875,0.72759414,0.28319001
0.23915256,0.65721538,0.17338165,0.67907757,0.73698543,0.72661377,0.73663876,0.28206523
0.24121507,0.67246509,0.21775043,0.68170388,0.74687113,0.77046774,0.78118318,0.28086976
0.25091074,0.66509452,0.29853781,0.68432991,0.76380903,0.79485627,0.78449138,0.27641455
0.26060640,0.66789976,0.34642720,0.68695621,0.77460418,0.79220537,0.80519627,0.27645375
0.27030207,0.65942066,0.39981545,0.68958224,0.77925922,0.79591881,0.78314796,0.27525771
0.27999837,0.63607069,0.44318091,0.69220855,0.78391556,0.75620080,0.78615416,0.27536282
0.28969404,0.63449928,0.46515715,0.69483458,0.78857059,0.79080012,0.76576689,0.27527646
0.29938970,0.66714649,0.49325650,0.68880424,0.79326900,0.75245294,0.77282242,0.27527930
0.30908537,0.66221558,0.48348923,0.66283928,0.79798448,0.78127161,0.74734615,0.27062921
0.31878104,0.64905469,0.52234074,0.63687405,0.80269997,0.80586044,0.77907259,0.26504103
0.32847734,0.65296993,0.52364677,0.61090909,0.80163544,0.78963742,0.77646213,0.25725511
0.31939731,0.64725037,0.55820071,0.58494413,0.79972454,0.78677996,0.77384994,0.25183624
0.28909812,0.64221480,0.57794319,0.55897917,0.77696456,0.71491949,0.70776577,0.24221274
0.25879892,0.62345227,0.55363879,0.54029167,0.72451199,0.66289846,0.65619359,0.23223757
0.26579608,0.64161336,0.47899408,0.52339197,0.72041551,0.69433360,0.66686974,0.22140214
0.28195531,0.65812344,0.43328128,0.50649200,0.72633090,0.70241929,0.70304993,0.21083831
0.29811518,0.63386541,0.41859260,0.48959230,0.72335415,0.71578956,0.70581834,0.20007163
0.31427505,0.66403169,0.41499639,0.47269260,0.71666730,0.74455816,0.73864173,0.18963333
0.23349479,0.62682505,0.45073359,0.45579290,0.70998046,0.75215405,0.73111930,0.18091670
0.23989794,0.61194091,0.39975867,0.43889320,0.70919060,0.72667011,0.73056736,0.17435806
0.24630045,0.65676725,0.40000460,0.43463105,0.71878191,0.75444658,0.73572926,0.17005003
0.25270359,0.64625977,0.32891811,0.44465196,0.69747022,0.72343395,0.70885577,0.16821136
0.25910610,0.61656374,0.32423341,0.45467287,0.75277074,0.72775926,0.74715175,0.16780907
0.26550925,0.61537265,0.30477486,0.46469350,0.73177973,0.75890490,0.73263455,0.16918409
0.27191240,0.63366494,0.33330047,0.47471441,0.72248149,0.71177097,0.73546891,0.17275802
0.27831491,0.63066364,0.25331727,0.48473532,0.70767528,0.67053190,0.70039955,0.17706378
0.28471805,0.63899533,0.23496601,0.49475623,0.72400995,0.69392047,0.69543725,0.18161160
0.28996815,0.63838210,0.23493761,0.50477686,0.71585379,0.69818631,0.70394554,0.18621621
0.29256553,0.62268573,0.10282501,0.51479777,0.70147865,0.70427523,0.70580619,0.19200954
0.29516292,0.62247199,0.14192245,0.52481868,0.71957834,0.70427523,0.72234546,0.19743576
0.29775966,0.61979499,0.05913803,0.53483931,0.70790527,0.70427523,0.72229859,0.20112336
0.30035704,0.62832275,0.02258667,0.54486022,0.70469590,0.69818631,0.72121379,0.20470865
0.29999771,0.63964394,0.00403666,0.55105135,0.70754517,0.71987544,0.75222167,0.20712972
0.29794664,0.63963215,0.00480325,0.54842394,0.71039313,0.74763313,0.76684475,0.21018430
0.29589558,0.66761821,0.01952033,0.54579625,0.71324108,0.77196063,0.78038824,0.21485769
0.29384451,0.65797013,0.02729055,0.54316884,0.71608904,0.75444815,0.76389236,0.21968391
0.29179344,0.64911365,0.00546586,0.54054143,0.69154564,0.71827457,0.72714634,0.22564769
0.28974237,0.65903149,0.05346882,0.53791374,0.72665288,0.79242602,0.80524140,0.23301771
0.28769131,0.64392477,0.08312052,0.53528633,0.75035649,0.79885138,0.80376434,0.24143775
0.28564024,0.63295736,0.16088875,0.53265864,0.74891477,0.78292725,0.78751666,0.25022657
0.28358917,0.66668509,0.16305614,0.53003123,0.73798819,0.76395787,0.76143811,0.25989208
0.28153810,0.66173207,0.23422781,0.52740354,0.73721673,0.75653882,0.76143811,0.26945817
0.27948704,0.64224870,0.19770485,0.52477613,0.72519408,0.70632521,0.69030659,0.27786684
0.27743597,0.61190554,0.18067842,0.52214844,0.70847565,0.72195828,0.69677199,0.28423630
0.27538490,0.65050522,0.21653916,0.51952103,0.72866761,0.72817239,0.72022099,0.28773864
0.27333383,0.63228222,0.20416903,0.51689334,0.71529261,0.73990110,0.71608660,0.28784943
0.27128277,0.67100277,0.23263786,0.51426593,0.72661346,0.75564058,0.76269127,0.28607783
0.26923170,0.64660176,0.21801516,0.51196343,0.71290727,0.75293022,0.75776195,0.28317889
0.26718063,0.63138890,0.25833346,0.51003693,0.71756887,0.74124532,0.73522071,0.28051294
0.26512956,0.64495812,0.27193365,0.50811044,0.69554355,0.72912539,0.73221278,0.27750889
